poi_id,name,lon,lat,zone_id,facility_type,capacity_level
LC088,Prologis Park Nagareyama 1,139.9000,35.8500,MFS28,LARGE_DISTRIBUTION,high
LC089,Prologis Park Narita 1,140.3200,35.7800,MFS54,LOGISTICS_HUB,high
LC090,SOSiLA Saitama Misato,139.8800,35.8400,MFS28,LOGISTICS_HUB,high
LC091,GLP ALFALINK Soka,139.8100,35.8200,MFS27,LOGISTICS_HUB,high
LC092,GLP Funabashi,139.9800,35.6900,MFS39,LARGE_DISTRIBUTION,high
LC093,DPL Ichikawa,139.9300,35.7200,MFS39,MEDIUM_WAREHOUSE,medium
LC094,DPL Misato,139.8700,35.8300,MFS28,MEDIUM_WAREHOUSE,medium
LC095,Prologis Park Kawaguchi,139.7300,35.8900,MFS27,LARGE_DISTRIBUTION,high
LC096,GLP Sagamihara,139.3500,35.5700,MFS26,LOGISTICS_HUB,high
LC097,GLP Atsugi II,139.3700,35.4500,MFS26,LARGE_DISTRIBUTION,high
LC098,Prologis Park Zama,139.3900,35.4800,MFS26,LOGISTICS_HUB,high
LC099,MFLP Ichikawa,139.9200,35.7100,MFS39,LARGE_DISTRIBUTION,high
LC100,MFLP Funabashi Nishiura,139.9600,35.6800,MFS39,LARGE_DISTRIBUTION,high
LC101,Logifront Shinkiba,139.8300,35.6500,MFS04,LOGISTICS_HUB,high
LC102,Logifront Haneda,139.7500,35.5700,MFS02,LOGISTICS_HUB,high
LC103,GLP Tokyo-Tama,139.4200,35.6500,MFS09,MEDIUM_WAREHOUSE,medium
LC104,Goodman Tokyo-Tama,139.4300,35.6600,MFS09,MEDIUM_WAREHOUSE,medium
LC105,Hankyu Hanshin Zama GLC,139.3800,35.4700,MFS26,LOGISTICS_HUB,medium
LC106,ESR Saitama Distribution Center,139.6000,35.9000,MFS30,LARGE_DISTRIBUTION,high
LC107,ESR Ichikawa,139.9100,35.7300,MFS39,MEDIUM_WAREHOUSE,medium
LC108,Nippon Express Saitama Logistics,139.5800,35.8800,MFS27,LOGISTICS_HUB,high
LC109,Yamato Logistics Saitama Hub,139.6200,35.8700,MFS27,LARGE_DISTRIBUTION,high
LC110,Sagawa Logistics Tokyo East,139.8000,35.7000,MFS07,LARGE_DISTRIBUTION,medium
LC111,Seino Logistics Chiba Hub,139.9700,35.7200,MFS39,LOGISTICS_HUB,medium
LC112,Fukuyama Transporting Tokyo Bay,139.8200,35.6600,MFS04,MEDIUM_WAREHOUSE,medium
LC113,SG Holdings Koto Depot,139.8100,35.6800,MFS04,MEDIUM_WAREHOUSE,medium
LC114,Tokyo Logistics Edogawa,139.8700,35.6900,MFS04,MEDIUM_WAREHOUSE,medium
LC115,Schenker Tokyo East,139.8500,35.7100,MFS07,MEDIUM_WAREHOUSE,medium
LC116,Kintetsu World Express Tokyo,139.8400,35.6700,MFS04,MEDIUM_WAREHOUSE,medium
LC117,Panalpina Japan Tokyo Depot,139.8300,35.6900,MFS04,MEDIUM_WAREHOUSE,low
LC118,Mitsui-Soko Ichikawa,139.9400,35.7100,MFS39,MEDIUM_WAREHOUSE,medium
LC119,Mitsubishi Logistics Kasai,139.8600,35.6800,MFS04,MEDIUM_WAREHOUSE,medium
LC120,Sumitomo Warehouse Tokyo East,139.8700,35.7000,MFS04,MEDIUM_WAREHOUSE,medium
LC121,Tokyo Soko Edogawa,139.8800,35.6900,MFS04,MEDIUM_WAREHOUSE,low
LC122,Kawanishi Warehouse Adachi,139.8200,35.7700,MFS07,MEDIUM_WAREHOUSE,low
LC123,Toyo Logistics Katsushika,139.8600,35.7600,MFS07,MEDIUM_WAREHOUSE,low
LC124,Meiko Trans Koto,139.8100,35.6600,MFS04,MEDIUM_WAREHOUSE,medium
LC125,Hamakyorex Tokyo East,139.8400,35.6800,MFS04,MEDIUM_WAREHOUSE,low
LC126,Tonami Transport Tokyo Depot,139.8300,35.6700,MFS04,MEDIUM_WAREHOUSE,low
LC127,Hitachi Transport Saitama,139.6100,35.8900,MFS27,LARGE_DISTRIBUTION,high
LC128,Nippon Express Kashiwa,139.9700,35.8500,MFS43,LOGISTICS_HUB,medium
LC129,Yamato Logistics Kashiwa Hub,139.9800,35.8600,MFS43,LARGE_DISTRIBUTION,medium
LC130,DHL Tokyo East Gateway,139.8500,35.7000,MFS04,MEDIUM_WAREHOUSE,medium
LC131,FedEx Tokyo Suburban Hub,139.9500,35.7500,MFS39,MEDIUM_WAREHOUSE,medium
LC132,UPS Tokyo Distribution,139.8300,35.7100,MFS04,MEDIUM_WAREHOUSE,medium
LC133,Kuehne+Nagel Tokyo East,139.8600,35.6900,MFS04,MEDIUM_WAREHOUSE,medium
LC134,DB Schenker Chiba,139.9900,35.7000,MFS39,MEDIUM_WAREHOUSE,medium
LC135,CJ Logistics Tokyo Hub,139.8200,35.6700,MFS04,MEDIUM_WAREHOUSE,low
LC136,Kerry Logistics Tokyo,139.8400,35.6900,MFS04,MEDIUM_WAREHOUSE,low
LC137,Toll Logistics Tokyo Bay,139.8100,35.6500,MFS04,MEDIUM_WAREHOUSE,medium
LC138,Agility Logistics Koto,139.8300,35.6800,MFS04,MEDIUM_WAREHOUSE,low
LC139,Yusen Logistics Tokyo East,139.8500,35.6800,MFS04,MEDIUM_WAREHOUSE,medium
LC140,Kintetsu Logistics Saitama,139.6300,35.8800,MFS27,MEDIUM_WAREHOUSE,medium
