poi_id,name,lon,lat,zone_id,facility_type,capacity_level
LC001,Tokyo Port Distribution Hub,139.7798,35.5494,MFS02,LOGISTICS_HUB,high
LC002,Haneda Cargo Terminal,139.7850,35.5520,MFS02,LARGE_DISTRIBUTION,high
LC003,Yokohama Port Logistics Center,139.6400,35.4500,MFS11,LOGISTICS_HUB,high
LC004,Shinagawa Distribution Center,139.7500,35.6000,MFS02,LARGE_DISTRIBUTION,high
LC005,Kawasaki Industrial Complex,139.7000,35.5300,MFS16,LARGE_DISTRIBUTION,medium
LC006,Koto Warehouse District,139.8200,35.6900,MFS04,MEDIUM_WAREHOUSE,medium
LC007,Eastern Tokyo Logistics Hub,139.8500,35.7400,MFS07,MEDIUM_WAREHOUSE,medium
LC008,Nerima Distribution Facility,139.6800,35.7500,MFS06,MEDIUM_WAREHOUSE,medium
LC009,West Suburbs Freight Terminal,139.5400,35.6700,MFS08,LARGE_DISTRIBUTION,medium
LC010,Saitama South Distribution,139.6500,35.8600,MFS27,MEDIUM_WAREHOUSE,medium
LC011,Chiba West Logistics Park,139.9500,35.7000,MFS39,MEDIUM_WAREHOUSE,medium
LC012,Ota Industrial Distribution,139.7400,35.5900,MFS02,MEDIUM_WAREHOUSE,medium
LC013,Adachi Warehouse Complex,139.8400,35.7500,MFS07,MEDIUM_WAREHOUSE,low
LC014,Suginami Regional Depot,139.6400,35.6800,MFS05,MEDIUM_WAREHOUSE,low
LC015,Tama Region Distribution,139.4000,35.6500,MFS09,MEDIUM_WAREHOUSE,low
LC016,Tsukiji Market Logistics,139.7707,35.6654,MFS01,MEDIUM_WAREHOUSE,high
LC017,Chofu Distribution Center,139.5350,35.6650,MFS08,MEDIUM_WAREHOUSE,low
LC018,Funabashi Freight Hub,139.9600,35.7050,MFS39,MEDIUM_WAREHOUSE,medium
LC019,Urawa Distribution Facility,139.6450,35.8650,MFS27,MEDIUM_WAREHOUSE,low
LC020,Sumida Warehouse Zone,139.8250,35.6950,MFS04,MEDIUM_WAREHOUSE,low
LC021,West Tokyo Regional Hub,139.2600,35.7400,MFS10,LARGE_DISTRIBUTION,medium
LC022,Ome Logistics Depot,139.2400,35.7500,MFS10,MEDIUM_WAREHOUSE,low
LC023,Yokohama Minato Distribution,139.6500,35.4600,MFS11,LARGE_DISTRIBUTION,high
LC024,Yokohama Tsurumi Warehouse,139.6700,35.5100,MFS11,MEDIUM_WAREHOUSE,medium
